symbol,date,open,high,low,close,volume,adjusted
YDUQ3,2010-01-04,8.3,8.34,7.923333,8.07,118200,5.70498
YDUQ3,2010-01-05,8.22,8.22,7.623333,8.166666,45300,5.773318
YDUQ3,2010-01-06,7.97,8.3,7.97,8.3,48900,5.867576
YDUQ3,2010-01-07,8.296666,8.3,8,8.166666,38400,5.773318
YDUQ3,2010-01-08,7.936666,8.166666,7.933333,8.166666,33000,5.773318
YDUQ3,2010-01-11,8.166666,8.166666,8.166666,8.166666,150600,5.773318
YDUQ3,2010-01-12,8,8.13,7.686666,7.8,75000,5.514107
YDUQ3,2010-01-13,7.963333,7.963333,7.67,7.67,53100,5.422207
YDUQ3,2010-01-14,7.62,7.643333,7.5,7.5,55200,5.302026
YDUQ3,2010-01-15,7.64,7.64,7.553333,7.613333,134400,5.382145
YDUQ3,2010-01-18,7.766666,7.766666,7.666666,7.666666,3300,5.419848
YDUQ3,2010-01-19,7.6,7.646666,7.516666,7.6,211500,5.37272
YDUQ3,2010-01-20,7.5,7.5,7.416666,7.416666,783000,5.243114
YDUQ3,2010-01-21,7.416666,7.416666,7.073333,7.1,202800,5.019253
YDUQ3,2010-01-22,7.066666,7.116666,7.003333,7.083333,126600,5.007469
YDUQ3,2010-01-26,7,7.083333,6.866666,7.033333,165600,4.972122
YDUQ3,2010-01-27,7.033333,7.176666,6.9,7.066666,143700,4.995687
YDUQ3,2010-01-28,7.166666,7.296666,6.833333,7.296666,160800,5.158283
YDUQ3,2010-01-29,7.15,7.503333,7.066666,7.503333,177300,5.304383
YDUQ3,2010-02-01,7.5,7.743333,7.343333,7.733333,28800,5.466978
YDUQ3,2010-02-02,7.703333,7.74,7.5,7.6,96300,5.37272
YDUQ3,2010-02-03,7.733333,7.733333,7.54,7.6,21600,5.37272
YDUQ3,2010-02-04,7.5,7.503333,6.94,6.966666,297300,4.924994
YDUQ3,2010-02-05,6.966666,7.133333,6.913333,6.996666,1232100,4.9462
YDUQ3,2010-02-08,7,7.043333,6.783333,6.783333,176100,4.795387
YDUQ3,2010-02-09,6.843333,7.023333,6.843333,6.983333,948600,4.936776
YDUQ3,2010-02-10,7,7.216666,7,7.083333,30600,5.007469
YDUQ3,2010-02-11,6.933333,7.2,6.933333,7.103333,28200,5.021608
YDUQ3,2010-02-12,6.893333,7.143333,6.893333,7.106666,18300,5.023963
YDUQ3,2010-02-17,7,7.383333,7,7.383333,339000,5.219551
YDUQ3,2010-02-18,7.3,7.383333,7.25,7.25,18300,5.125293
YDUQ3,2010-02-19,7.166666,7.35,7.166666,7.35,29100,5.195986
YDUQ3,2010-02-22,7.333333,7.566666,7.333333,7.396666,166800,5.228975
YDUQ3,2010-02-23,7.333333,7.496666,7.333333,7.366666,11700,5.207767
